Wavenumber,Intensity,Class
400.1202,13.62347,0
400.6023,13.6084,0
401.0844,13.6339,0
401.5665,13.61213,0
402.0486,13.49463,0
402.5308,13.40541,0
403.0129,13.44315,0
403.495,13.67098,0
403.9771,13.741,0
404.4592,13.58658,0
404.9413,13.38402,0
405.4235,13.38607,0
405.9056,13.62221,0
406.3877,13.77555,0
406.8698,13.75323,0
407.3519,13.63437,0
407.834,13.63455,0
408.3162,13.75301,0
408.7983,13.84384,0
409.2804,13.78821,0
409.7625,13.64629,0
410.2446,13.64323,0
410.7267,13.7809,0
411.2089,13.91599,0
411.691,13.89208,0
412.1731,13.77985,0
412.6552,13.74636,0
413.1373,13.83318,0
413.6194,13.92735,0
414.1016,13.8934,0
414.5837,13.78565,0
415.0658,13.70945,0
415.5479,13.73835,0
416.03,13.78237,0
416.5121,13.77069,0
416.9943,13.71563,0
417.4764,13.65558,0
417.9585,13.60741,0
418.4406,13.56105,0
418.9227,13.4775,0
419.4048,13.34907,0
419.887,13.33074,0
420.3691,13.63749,0
420.8512,13.97869,0
421.3333,14.12658,0
421.8154,13.89556,0
422.2975,13.71604,0
422.7797,13.65842,0
423.2618,13.68737,0
423.7439,13.75137,0
424.226,13.92955,0
424.7081,14.04072,0
425.1902,14.03609,0
425.6724,13.93332,0
426.1545,13.82937,0
426.6366,13.69111,0
427.1187,13.60653,0
427.6008,13.63003,0
428.0829,13.77989,0
428.5651,13.8721,0
429.0472,13.89731,0
429.5293,13.88467,0
430.0114,13.85096,0
430.4935,13.79329,0
430.9756,13.74491,0
431.4578,13.69996,0
431.9399,13.68755,0
432.422,13.79564,0
432.9041,14.01253,0
433.3862,14.15736,0
433.8683,14.14371,0
434.3505,14.03986,0
434.8326,13.99079,0
435.3147,13.98888,0
435.7968,13.97454,0
436.2789,13.89686,0
436.761,13.7882,0
437.2432,13.68633,0
437.7253,13.59392,0
438.2074,13.53761,0
438.6895,13.53219,0
439.1716,13.57716,0
439.6537,13.69381,0
440.1359,13.93272,0
440.618,14.113,0
441.1001,14.09742,0
441.5822,13.96434,0
442.0643,13.82586,0
442.5464,13.66684,0
443.0286,13.56292,0
443.5107,13.58314,0
443.9928,13.68791,0
444.4749,13.73279,0
444.957,13.62292,0
445.4391,13.51012,0
445.9213,13.44888,0
446.4034,13.4446,0
446.8855,13.46434,0
447.3676,13.5004,0
447.8497,13.56798,0
448.3318,13.69327,0
448.814,13.9639,0
449.2961,14.07443,0
449.7782,13.97261,0
450.2603,13.76814,0
450.7424,13.58991,0
451.2245,13.42877,0
451.7067,13.36229,0
452.1888,13.42655,0
452.6709,13.577,0
453.153,13.71069,0
453.6351,13.82668,0
454.1172,13.91779,0
454.5994,13.98672,0
455.0815,14.02619,0
455.5636,13.99298,0
456.0457,13.89004,0
456.5278,13.7988,0
457.0099,13.79061,0
457.4921,13.83266,0
457.9742,13.86899,0
458.4563,13.89347,0
458.9384,13.91235,0
459.4205,13.94207,0
459.9026,13.96349,0
460.3848,13.94375,0
460.8669,13.84427,0
461.349,13.75877,0
461.8311,13.75641,0
462.3132,13.80487,0
462.7953,13.84737,0
463.2775,13.87829,0
463.7596,13.88342,0
464.2417,13.82107,0
464.7238,13.71386,0
465.2059,13.68434,0
465.688,13.85864,0
466.1702,14.01387,0
466.6523,14.04231,0
467.1344,13.91909,0
467.6165,13.8419,0
468.0986,13.83921,0
468.5807,13.85438,0
469.0629,13.84258,0
469.545,13.78321,0
470.0271,13.76398,0
470.5092,13.80584,0
470.9913,13.86463,0
471.4734,13.87748,0
471.9556,13.84069,0
472.4377,13.78555,0
472.9198,13.70916,0
473.4019,13.63398,0
473.884,13.60903,0
474.3661,13.63073,0
474.8483,13.66793,0
475.3304,13.73905,0
475.8125,13.80696,0
476.2946,13.76769,0
476.7767,13.63411,0
477.2589,13.515,0
477.741,13.51736,0
478.2231,13.56554,0
478.7052,13.54268,0
479.1873,13.42947,0
479.6694,13.37816,0
480.1516,13.57473,0
480.6337,13.83838,0
481.1158,13.98735,0
481.5979,13.9398,0
482.08,13.85127,0
482.5621,13.7355,0
483.0443,13.62293,0
483.5264,13.55372,0
484.0085,13.60384,0
484.4906,13.61707,0
484.9727,13.52759,0
485.4548,13.37963,0
485.937,13.29909,0
486.4191,13.30752,0
486.9012,13.35272,0
487.3833,13.43507,0
487.8654,13.55382,0
488.3475,13.63666,0
488.8297,13.68046,0
489.3118,13.69615,0
489.7939,13.68092,0
490.276,13.6351,0
490.7581,13.63603,0
491.2402,13.69342,0
491.7224,13.74558,0
492.2045,13.69521,0
492.6866,13.57862,0
493.1687,13.56795,0
493.6508,13.70801,0
494.1329,13.88303,0
494.6151,14.00087,0
495.0972,14.05181,0
495.5793,14.00615,0
496.0614,13.77358,0
496.5435,13.54862,0
497.0256,13.49999,0
497.5078,13.58741,0
497.9899,13.71775,0
498.472,13.95817,0
498.9541,14.13431,0
499.4362,14.09701,0
499.9183,13.88079,0
500.4005,13.74949,0
500.8826,13.89346,0
501.3647,14.02722,0
501.8468,13.98589,0
502.3289,13.69856,0
502.811,13.57901,0
503.2932,13.74438,0
503.7753,13.95886,0
504.2574,14.04611,0
504.7395,13.9395,0
505.2216,13.92483,0
505.7037,14.05204,0
506.1859,14.20329,0
506.668,14.221,0
507.1501,14.09967,0
507.6322,13.96781,0
508.1143,13.83602,0
508.5964,13.74327,0
509.0786,13.7787,0
509.5607,13.91699,0
510.0428,14.03293,0
510.5249,14.09521,0
511.007,14.10089,0
511.4891,13.99021,0
511.9713,13.8008,0
512.4534,13.67689,0
512.9355,13.7389,0
513.4176,13.87577,0
513.8997,14.01248,0
514.3818,14.13001,0
514.864,14.20872,0
515.3461,14.23847,0
515.8282,14.23535,0
516.3103,14.18888,0
516.7924,14.08374,0
517.2745,14.01903,0
517.7567,14.04135,0
518.2388,14.08514,0
518.7209,14.10043,0
519.203,14.04629,0
519.6851,14.04047,0
520.1672,14.14955,0
520.6494,14.26081,0
521.1315,14.17242,0
521.6136,13.78368,0
522.0957,13.66124,0
522.5778,13.9799,0
523.0599,14.48469,0
523.5421,14.61656,0
524.0242,14.38134,0
524.5063,14.12159,0
524.9884,13.96572,0
525.4705,13.88459,0
525.9526,13.81315,0
526.4348,13.73522,0
526.9169,13.67414,0
527.399,13.66675,0
527.8811,13.71193,0
528.3632,13.78057,0
528.8453,13.84258,0
529.3275,13.88787,0
529.8096,13.95527,0
530.2917,14.01702,0
530.7738,13.96686,0
531.2559,13.74665,0
531.738,13.62355,0
532.2202,13.87506,0
532.7023,14.19317,0
533.1844,14.28179,0
533.6665,13.893,0
534.1486,13.68823,0
534.6307,13.74738,0
535.1129,13.9166,0
535.595,14.08858,0
536.0771,14.32859,0
536.5592,14.42163,0
537.0413,14.27089,0
537.5234,14.00585,0
538.0056,13.84356,0
538.4877,13.77581,0
538.9698,13.75712,0
539.4519,13.79852,0
539.934,13.88263,0
540.4161,14.01451,0
540.8983,14.17414,0
541.3804,14.24628,0
541.8625,14.025,0
542.3446,13.76048,0
542.8267,13.80704,0
543.3088,14.09502,0
543.791,14.33209,0
544.2731,14.37776,0
544.7552,14.33403,0
545.2373,14.23227,0
545.7194,14.07723,0
546.2015,13.97195,0
546.6837,13.96043,0
